word,count,type,oxford
stress,7,verb,a2
plan,7,verb,a1
floor,7,verb,a1
marry,7,verb,a1
explain,7,verb,a1
field,7,verb,a2
return,7,verb,a1
straight,7,adj,a2
headache,7,noun,a2
truth,7,noun,b1
pressure,7,verb,b1
terrible,7,adj,a1
police,7,verb,a1
honest,7,adj,b1
relax,7,verb,a1
stone,7,verb,a2
normal,7,adj,a2
corner,7,verb,a2
priest,7,noun,b1
serve,6,verb,a2
island,6,noun,a1
grandson,6,noun,other
breakfast,6,verb,a1
ready,6,adj,a1
soldier,6,noun,a2
taste,6,verb,a2
hotel,6,noun,a1
breath,6,verb,b1
fall,6,verb,a1
activity,6,noun,a1
horrible,6,adj,b1
stock,6,verb,b2
rock,6,verb,a2
damn,6,noun,other
med,6,noun,other
force,6,verb,b1
pop,6,verb,a2
pepper,6,verb,a1
paint,6,verb,a1
evil,6,adj,b2
captain,6,verb,b1
split,6,verb,b2
realize,6,verb,a2
rain,6,verb,a1
leg,6,noun,a1
option,6,noun,a2
red,6,adj,a1
type,6,verb,a1
proud,6,adj,b1
pain,6,noun,a2
development,6,noun,b1
favorite,6,adj,other
chair,6,verb,a1
wiseguy,6,noun,other
dance,6,verb,a1
million,6,noun,a1
north,6,adj,a1
bless,6,verb,c1
mental,6,adj,b1
neighbor,6,noun,other
order,6,verb,a1
contract,6,verb,b2
member,6,noun,a1
computer,6,adj,a1
card,6,noun,other
threaten,6,verb,b2
security,6,noun,b1
cover,6,verb,a2
kitchen,6,adj,a1
create,6,verb,a1
bother,6,verb,b1
sunday,6,noun,a1
finger,6,verb,a2
consider,6,verb,a2
future,6,adj,a1
garbage,6,noun,other
rack,6,verb,other
position,6,verb,a2
experience,6,verb,a2
salad,6,noun,a1
heavy,6,adj,a2
moment,6,noun,a1
middle,6,adj,a2
murder,6,verb,b1
noise,6,noun,a2
press,6,verb,b1
genius,6,noun,b2
involve,6,verb,a2
green,6,adj,a1
organize,6,verb,a2
idiot,6,noun,c1
tire,6,verb,a1
nine,6,adj,a1
emergency,6,adj,b1
disease,5,noun,a2
clone,5,verb,other
upstairs,5,adj,a1
dollar,5,noun,a1
public,5,adj,a2
tough,5,adj,b2
suggest,5,verb,a2
handle,5,verb,b2
scream,5,verb,b2
poison,5,verb,b1
goodbye,5,noun,a1
leader,5,noun,a2
road,5,noun,a1
football,5,noun,a1
property,5,noun,b1
cash,5,verb,a2
king,5,noun,a2
talent,5,noun,b1
city,5,noun,a1
fit,5,verb,a2
confess,5,verb,b2
amaze,5,verb,a1
homework,5,noun,a1
deserve,5,verb,b2
danger,5,noun,a2
broad,5,adj,b2
forever,5,noun,b1
jail,5,verb,b2
detail,5,verb,a1
fancy,5,verb,b1
large,5,adj,a1
girlfriend,5,noun,a1
shore,5,noun,b2
enjoy,5,verb,a1
grove,5,noun,other
lord,5,noun,b2
federal,5,adj,b2
class,5,noun,a1
stomach,5,noun,a2
science,5,noun,a1
bore,5,verb,a1
fix,5,verb,a2
fee,5,noun,a2
jump,5,verb,a2
boat,5,noun,a1
sweet,5,adj,a2
jealous,5,adj,other
hustle,5,verb,other
crack,5,verb,b2
quit,5,verb,b1
due,5,adj,b1
grandmother,5,noun,a1
vacation,5,noun,a1
officer,5,noun,a2
license,5,verb,c1
secret,5,adj,a2
promise,5,verb,a2
hide,5,verb,a2
double,5,verb,a2
bury,5,verb,b1
ground,5,verb,other
badge,5,noun,b2
allow,5,verb,a2
biggest,5,adj,other
bathroom,5,noun,a1
country,5,noun,a1
lead,5,verb,a2
route,5,verb,a2
channel,5,verb,b1
single,5,verb,a2
sentence,5,verb,a1
crap,5,noun,other
suspend,5,verb,b2
progress,5,verb,a2
push,5,verb,a2
salute,5,verb,other
physical,5,adj,a2
buck,5,verb,c1
authority,5,noun,b1
conversation,5,noun,a1
difference,5,noun,a1
decision,5,noun,a2
bribe,5,verb,other
confusion,5,noun,b2
heat,5,verb,a2
chicken,5,adj,a1
rid,5,verb,b2
machine,5,noun,a1
hook,5,verb,b2
mama,5,noun,other
pant,5,verb,a2
operator,5,noun,b2
join,5,verb,a1
disappear,5,verb,a2
babe,5,noun,other
coke,5,noun,other
rap,5,noun,other
mobster,5,noun,other
nut,5,noun,a2
degenerate,5,verb,other
lift,4,verb,a2
jerk,4,verb,other
republic,4,noun,c1
positive,4,adj,a1
personality,4,noun,a2
protect,4,verb,a2
offense,4,noun,other
session,4,noun,b2
confuse,4,verb,b1
guarantee,4,verb,b2
symptom,4,noun,b1
chorus,4,noun,other
trash,4,noun,other
collapse,4,verb,b2
energy,4,noun,a2
unhappy,4,adj,a2
roof,4,noun,a2
effect,4,verb,a2
sight,4,verb,b1
spot,4,verb,b1
sea,4,adj,a1
wet,4,adj,a2
support,4,verb,a2
allege,4,verb,c1
radio,4,noun,a1
mistake,4,verb,a1
cutting,4,adj,other
represent,4,verb,b1
scam,4,noun,other
partner,4,verb,a1
certain,4,adj,a2
appreciate,4,verb,b1
male,4,adj,a2
gut,4,verb,c1
page,4,verb,a1
store,4,verb,a2
mall,4,noun,b1
bug,4,verb,b2
compliment,4,verb,other
attorney,4,noun,c1
egg,4,noun,a1
god,4,noun,other
retirement,4,noun,b2
dump,4,verb,b2
whose,4,adj,a2
bail,4,verb,c1
fresh,4,adj,a2
indict,4,verb,other
nose,4,verb,a1
model,4,verb,a1
attempt,4,verb,b2
beginning,4,adj,other
bread,4,noun,a1
focus,4,verb,a2
cheese,4,noun,a1
drum,4,verb,b1
sport,4,verb,a1
complicate,4,verb,b2
result,4,verb,a1
arrangement,4,noun,a2
welcome,4,verb,a1
notice,4,verb,a2
collect,4,verb,a2
bell,4,noun,b1
hold,4,verb,a2
silent,4,adj,b1
bank,4,verb,a1
medical,4,adj,a2
worst,4,adj,a2
base,4,verb,a2
shove,4,verb,other
earn,4,verb,a2
generation,4,noun,b1
peace,4,noun,a2
steer,4,verb,c1
track,4,verb,a2
witness,4,verb,b2
legitimate,4,adj,c1
swear,4,verb,b2
gamble,4,verb,c1
brick,4,adj,b2
private,4,adj,b1
crystal,4,noun,c1
bathtub,4,noun,other
speed,4,verb,a2
healthy,4,adj,a1
slap,4,verb,c1
fool,4,verb,b2
cappuccino,4,noun,other
fantasy,4,noun,b2
gas,4,noun,a2
behavior,4,noun,other
ban,4,verb,a1
frighten,4,verb,b1
mad,4,adj,b1
duty,4,noun,b1
associate,4,verb,b2
claim,4,verb,b1
lack,4,verb,b1
hire,4,verb,b1
illegal,4,adj,b1
beer,4,noun,a1
fact,4,noun,a1
resist,4,verb,b2
goodness,4,noun,b2
service,4,verb,a2
tone,4,verb,b2
sense,4,verb,a2
mix,4,verb,b1
rave,4,verb,other
travel,4,verb,a1
stubborn,4,adj,other
screw,4,verb,c1
justice,4,noun,b2
bottle,4,verb,a1
cost,4,verb,a1
practice,4,verb,a1
kiss,4,verb,b1
babble,4,verb,other
decide,4,verb,a1
champagne,4,noun,other
meeting,4,noun,other
stroke,4,verb,b2
freak,4,noun,other
everyone,4,noun,a1
investigation,4,noun,b2
intimate,4,adj,c1
wake,4,verb,a1
sack,4,verb,c1
smile,4,verb,a2
gravy,4,noun,other
pocket,4,verb,a2
bull,4,noun,other
evening,4,adj,a1
list,4,verb,a1
damage,4,verb,b1
script,4,noun,b1
scene,4,noun,a2
hungry,4,adj,a1
mood,4,noun,b1
panic,4,verb,b2
negative,4,adj,a1
sweat,4,verb,other
dentist,4,noun,a2
juice,4,noun,a1
carry,4,verb,a1
chapter,4,noun,b1
bridge,4,verb,a2
continue,4,verb,a2
meat,4,noun,a1
slit,4,verb,other
professional,4,adj,a2
bunch,4,verb,b2
pleasure,4,noun,b1
spill,4,verb,b2
mark,4,verb,a2
fear,4,verb,a2
average,4,verb,a2
appointment,4,noun,b1
pray,4,verb,b1
disorder,4,verb,b2
collar,4,noun,other
department,4,noun,a2
season,4,verb,a2
subject,4,verb,a1
wheel,4,verb,a2
human,4,adj,a2
possibility,4,noun,a2
cruise,3,verb,b2
resent,3,verb,other
tie,3,verb,a2
repair,3,verb,a2
knowledge,3,noun,a2
yell,3,verb,c1
leadership,3,noun,b2
spirit,3,verb,b1
price,3,verb,a1
condition,3,verb,a2
patio,3,noun,other
afternoon,3,adj,a1
forgive,3,verb,b2
psychology,3,noun,b2
alert,3,verb,c1
chase,3,verb,b2
penis,3,noun,other
frank,3,adj,other
refer,3,verb,a2
satisfaction,3,noun,b2
lamp,3,noun,a2
responsibility,3,noun,b1
gum,3,noun,other
boot,3,verb,a1
gesture,3,verb,b2
belt,3,verb,a2
content,3,verb,b1
doubt,3,verb,b1
ham,3,noun,other
shadow,3,verb,b2
evidence,3,verb,a2
gate,3,noun,a2
punishable,3,adj,other
cross,3,verb,a2
spring,3,verb,a1
loan,3,verb,b2
available,3,adj,a2
barn,3,noun,other
current,3,adj,b1
simple,3,adj,a2
forbid,3,verb,b2
jewelry,3,noun,other
plenty,3,noun,b1
handsome,3,adj,other
excellent,3,adj,a2
newsstand,3,noun,other
hill,3,noun,a2
yard,3,noun,b1
polish,3,verb,other
key,3,adj,a1
bowl,3,verb,a2
usual,3,adj,a2
barber,3,noun,other
fast,3,adj,a1
tea,3,noun,a1
manager,3,noun,a2
bold,3,adj,b2
guilt,3,noun,c1
rebel,3,verb,c1
gorgeous,3,adj,b2
deny,3,verb,b2
sudden,3,adj,b1
task,3,noun,a2
mountain,3,adj,a1
perfect,3,verb,a1
avoid,3,verb,a2
counsel,3,verb,c1
oral,3,adj,c1
anxiety,3,noun,b2
decent,3,adj,b2
manner,3,noun,a2
sweep,3,verb,b2
hurry,3,verb,b1
guitar,3,noun,a1
gold,3,adj,a2
bath,3,verb,a1
stranger,3,noun,b1
soul,3,noun,b2
funeral,3,noun,c1
speech,3,noun,a2
bat,3,verb,b2
surprise,3,verb,a2
warm,3,verb,a1
peculiar,3,adj,c1
sing,3,verb,a1
image,3,noun,a2
forward,3,verb,a2
wound,3,verb,other
cocktail,3,noun,c1
angry,3,adj,a1
manage,3,verb,a2
doorbell,3,noun,other
add,3,verb,a1
rail,3,noun,b2
devil,3,noun,c1
shake,3,verb,a2
setting,3,noun,other
criminal,3,adj,a2
fence,3,verb,b1
skill,3,noun,a1
planning,3,noun,other
toilet,3,noun,a1
grandfather,3,noun,a1
shy,3,adj,b1
pill,3,noun,b2
rape,3,noun,c1
communion,3,noun,other
abandon,3,verb,b2
metal,3,noun,a2
foundation,3,noun,b2
traffic,3,noun,a1
example,3,noun,a1
bone,3,noun,a2
dear,3,adj,a1
amusement,3,noun,other
doom,3,verb,other
reward,3,verb,b2
ashamed,3,adj,b2
fir,3,noun,other
hip,3,noun,b2
psychologist,3,noun,b2
dish,3,noun,a1
spit,3,verb,other
fish,3,verb,a1
difficult,3,adj,a1
basement,3,noun,b2
research,3,verb,a2
apologize,3,verb,b1
culture,3,noun,a1
gym,3,noun,a1
action,3,noun,a1
alcohol,3,noun,b1
tight,3,adj,b1
sun,3,noun,a1
bag,3,verb,a1
brunch,3,noun,other
toss,3,verb,c1
attention,3,noun,a2
rent,3,verb,b1
lobster,3,noun,other
nail,3,verb,b1
community,3,noun,a2
consciousness,3,noun,c1
veal,3,noun,other
sake,3,noun,c1
quick,3,adj,a1
strange,3,adj,a2
argue,3,verb,a2
brandy,3,noun,other
ten,3,adj,a1
scare,3,verb,b2
flu,3,noun,a2
expensive,3,adj,a1
guinea,3,noun,other
macaroon,3,noun,other
apply,3,verb,a2
drama,3,noun,a2
excite,3,verb,a1
search,3,verb,a2
filter,3,verb,c1
inspire,3,verb,b2
conference,3,noun,a2
supper,3,noun,other
brilliant,3,adj,a2
pinch,3,verb,other
hijack,3,verb,other
master,3,verb,b2
hot,3,adj,a1
warrant,3,verb,c1
blue,3,adj,a1
anniversary,3,noun,b2
skull,3,noun,b2
insane,3,adj,other
president,3,noun,a2
address,3,verb,a1
wash,3,verb,a1
seal,3,verb,c1
flow,3,verb,b1
system,3,noun,a2
painful,3,adj,b1
hundred,3,noun,a1
pastry,3,noun,other
advise,3,verb,b1
slow,3,verb,a1
businessman,3,noun,a2
affect,3,verb,a2
rib,3,verb,other
jolt,3,verb,other
recent,3,adj,a2
purpose,3,noun,a2
sushi,3,noun,other
shock,3,verb,b2
coincidence,3,noun,b2
graduate,3,verb,b1
ability,3,noun,a2
gene,3,noun,b2
remind,3,verb,b1
pair,3,verb,a1
league,3,noun,b2
pizza,3,noun,other
testify,3,verb,c1
scenario,3,noun,b2
boom,3,verb,c1
leak,3,verb,c1
circle,3,verb,a2
character,3,noun,a2
furniture,3,noun,a2
pour,3,verb,b1
degree,3,noun,a2
bottom,3,noun,a2
camp,3,verb,a2
raise,3,verb,a2
outfit,3,noun,b2
chef,3,noun,a2
information,3,noun,a1
spice,3,verb,b2
rage,3,verb,c1
church,3,noun,a2
small,3,adj,a1
hero,3,noun,a2
senior,3,adj,b2
vice,3,noun,c1
boar,3,noun,a2
pride,3,verb,b2
toe,3,noun,b1
cripple,3,verb,other
screen,3,verb,a2
standard,3,adj,b1
colleague,3,noun,a2
sandwich,3,verb,a1
prefer,3,verb,a1
grade,3,verb,b1
major,3,adj,a2
toast,3,verb,other
cap,3,verb,b1
haul,3,verb,other
produce,3,verb,a2
lesson,3,noun,a1
award,3,verb,a2
silence,3,verb,b2
empty,3,verb,a2
rip,3,verb,c1
cheer,3,verb,b2
belief,3,noun,b1
ignorant,3,adj,other
grow,3,verb,a1
confront,3,verb,c1
trick,3,verb,b1
general,3,adj,a2
percent,3,noun,other
wipe,2,verb,c1
driveway,2,noun,other
crib,2,noun,other
statute,2,noun,other
statement,2,noun,a1
butter,2,verb,a1
wing,2,noun,b1
gentle,2,adj,b1
pen,2,noun,a1
wedding,2,noun,other
storm,2,verb,a2
lifestyle,2,noun,a2
cute,2,adj,b2
increase,2,verb,a2
melt,2,verb,b2
eggplant,2,noun,other
specific,2,adj,a2
rush,2,verb,b2
unstable,2,adj,other
decency,2,noun,other
barbecue,2,verb,other
description,2,noun,a1
insult,2,verb,c1
century,2,noun,a1
candy,2,noun,other
theater,2,noun,other
depend,2,verb,a2
beach,2,verb,a1
agenda,2,noun,b2
ethnic,2,adj,b2
dealer,2,noun,b2
style,2,verb,a1
gossip,2,verb,other
straw,2,noun,other
grease,2,verb,other
refuse,2,verb,a2
complete,2,verb,a1
contact,2,verb,b1
improve,2,verb,a1
concept,2,noun,b2
investment,2,noun,b2
studio,2,noun,b1
delay,2,verb,b2
diet,2,noun,a1
earth,2,noun,a2
encourage,2,verb,b1
killer,2,noun,other
portray,2,verb,c1
national,2,adj,a2
opera,2,noun,b2
imagine,2,verb,a1
committee,2,noun,b2
concentrate,2,verb,b1
film,2,verb,a1
exhaust,2,verb,other
flush,2,verb,other
principle,2,noun,b2
slender,2,adj,other
rainy,2,adj,other
area,2,noun,a1
sort,2,verb,a2
sin,2,noun,c1
successful,2,adj,a2
able,2,adj,a2
principal,2,adj,b2
extreme,2,adj,a2
couch,2,verb,other
neat,2,adj,b2
destroy,2,verb,a2
smash,2,verb,c1
hall,2,noun,a2
distinction,2,noun,c1
mail,2,verb,a2
trade,2,verb,b1
lobotomy,2,noun,other
salt,2,verb,a1
thumb,2,verb,b2
mayor,2,noun,b2
mule,2,noun,other
crawl,2,verb,c1
dime,2,noun,other
basket,2,noun,b2
ancestor,2,noun,b2
level,2,verb,a2
sub,2,noun,other
recommend,2,verb,a2
bathrobe,2,noun,other
hospitalize,2,verb,other
match,2,verb,a1
tour,2,verb,a2
robe,2,noun,other
worth,2,adj,b1
psychological,2,adj,b2
eight,2,adj,a1
meal,2,noun,a1
lip,2,noun,b1
neurological,2,adj,other
waiter,2,noun,a1
hail,2,verb,c1
stove,2,noun,other
buzz,2,verb,other
jar,2,verb,other
appreciation,2,noun,c1
campus,2,noun,b1
iron,2,verb,b1
magic,2,adj,b1
bungalow,2,noun,other
communicate,2,verb,a2
organization,2,noun,a2
bomb,2,verb,b1
root,2,verb,b2
assume,2,verb,b2
instinct,2,noun,c1
counselor,2,noun,other
urgent,2,adj,b2
evaluation,2,noun,b2
mud,2,noun,b1
solid,2,adj,b1
golden,2,adj,b2
rice,2,noun,a1
pack,2,verb,a2
constitute,2,verb,c1
lieutenant,2,noun,other
tub,2,noun,other
prime,2,verb,b2
float,2,verb,b2
bake,2,verb,b1
starter,2,noun,other
patty,2,noun,other
bin,2,noun,a2
jacket,2,noun,a1
mushroom,2,noun,other
suicide,2,noun,c1
abuse,2,verb,c1
agreement,2,noun,b1
violation,2,noun,c1
